CST-IBS/CBS;Descrição CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descrição cClassTrib;LC Redação;LC 214/25;Tipo de Alíquota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualização;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
200;Alíquota zero;200010;Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública;Fornecimento dos medicamentos registrados na Anvisa, quando adquiridos por órgãos da administração pública direta, autarquias, fundações públicas e entidades imunes, observado o art. 146 da Lei Complementar nº 214, de 2025.;"Art. 146.
 § 1º Ficam também reduzidas a zero as alíquotas do IBS e da CBS sobre o fornecimento de medicamentos registrados na Anvisa, quando adquiridos por: 
 I - órgãos da administração pública direta, autarquias e fundações públicas; e 
 II - as entidades de saúde imunes ao IBS e à CBS que possuam CEBAS por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 2021.";Art. 146, § 1º;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art146
200;Alíquota zero;200011;Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI);Fornecimento das composições para nutrição enteral e parenteral, composições especiais e fórmulas nutricionais destinadas às pessoas com erros inatos do metabolismo relacionadas no Anexo VI da Lei Complementar nº 214, de 2025, com a especificação das respectivas classificações da NCM/SH, quando adquiridas por órgãos da administração pública direta, autarquias e fundações públicas, observado o art. 146 da Lei Complementar nº 214, de 2025.;"Art. 146.
 2º A redução de alíquotas de que trata o caput deste artigo aplica-se também ao fornecimento das composições para nutrição enteral e parenteral, composições especiais e fórmulas nutricionais destinadas às pessoas com erros inatos do metabolismo relacionadas no Anexo VI desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH, quando adquiridas pelos órgãos e entidades mencionados nos incisos do § 1º deste artigo.";Art. 146, § 2º;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art146
200;Alíquota zero;200012;Situação de emergência de saúde pública reconhecida pelo Poder público (Anexo XIV);Situação de emergência de saúde pública reconhecida pelo Poder Legislativo federal, estadual, distrital ou municipal competente, ato conjunto do Ministro da Fazenda e do Comitê Gestor do IBS poderá ser editado, a qualquer momento, para incluir dispositivos não listados no Anexo XIV da Lei Complementar nº 214, de 2025, limitada a vigência do benefício ao período e à localidade da emergência de saúde pública, observado o art. 146 da Lei Complementar nº 214, de 2025.;"Art. 146.
 § 4º Em caso de emergência de saúde pública reconhecida pelo Poder Legislativo federal, estadual, distrital ou municipal competente, ato conjunto do Ministro de Estado da Fazenda e do Comitê Gestor do IBS poderá ser editado, a qualquer momento, para incluir medicamentos não listados no Anexo XIV desta Lei Complementar, limitada a vigência do benefício ao período e à localidade da emergência de saúde pública.";Art. 146, § 4º;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art146
200;Alíquota zero;200013;Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos;Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos, descartáveis ou reutilizáveis, calcinhas absorventes e coletores menstruais, observado o art. 147 da Lei Complementar nº 214, de 2025.;"Art. 147. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos seguintes produtos de cuidados básicos à saúde menstrual: 
 I - tampões higiênicos classificados no código 9619.00.00 da NCM/SH; 
 II - absorventes higiênicos internos ou externos, descartáveis ou reutilizáveis, e calcinhas absorventes classificados no código 9619.00.00 da NCM/SH; e 
 III - coletores menstruais classificados no código 9619.00.00 da NCM/SH.";Art. 147;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art147
200;Alíquota zero;200014;Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV);Fornecimento dos produtos hortícolas, frutas e ovos, relacionados no Anexo XV da Lei Complementar nº 214 , de 2025, com a especificação das respectivas classificações da NCM/SH e desde que não cozidos, observado o art. 148 da Lei Complementar nº 214, de 2025.;Art. 148. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre o fornecimento dos produtos hortícolas, frutas e ovos relacionados no Anexo XV desta Lei Complementar, com a especificação das respectivas classificações da NCM/SH.;Art. 148;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;15;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art148
200;Alíquota zero;200015;Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência;"Venda de automóveis de passageiros de fabricação nacional de, no mínimo, 4 (quatro) portas, inclusive a de acesso ao bagageiro, quando adquiridos por motoristas profissionais que exerçam, comprovadamente, em automóvel de sua propriedade, atividade de condutor autônomo de passageiros, na condição de titular de autorização, permissão ou concessão do poder público, e que destinem o automóvel à utilização na categoria de aluguel (táxi), ou por pessoas com deficiência física, visual, auditiva, deficiência mental severa ou profunda, transtorno do espectro autista, com prejuízos na 
 comunicação social e em padrões restritos ou repetitivos de comportamento de nível moderado ou grave, nos termos da legislação relativa à matéria, observado o disposto no art. 149 da Lei Complementar nº 214, de 2025.";Art. 149. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre a venda de automóveis de passageiros de fabricação nacional de, no mínimo, 4 (quatro) portas, inclusive a de acesso ao bagageiro, quando adquiridos por:;Art. 149;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art149
200;Alíquota zero;200016;Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT);Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT) sem fins lucrativos para a administração pública direta, autarquias e fundações públicas ou para o contribuinte sujeito ao regime regular do IBS e da CBS, observado o disposto no art. 156 da Lei Complementar nº 214, de 2025.;"Art. 156. Ficam reduzidas a zero as alíquotas do IBS e da CBS incidentes sobre a prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT) sem fins lucrativos para: 
 I - a administração pública direta, autarquias e fundações públicas; ou II - contribuinte sujeito ao regime regular do IBS e da CBS.";Art. 156;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art156
200;Alíquota zero;200017;Operações relacionadas ao FGTS;Operações relacionadas ao FGTS, considerando aquelas necessárias à aplicação da Lei nº 8.036, de 1990, realizadas pelo Conselho Curador ou Secretaria Executiva do FGTS, observado o art. 212 da Lei Complementar nº 214, de 2025.;"Art. 212. As operações relacionadas ao Fundo de Garantia do Tempo de Serviço (FGTS) ficam sujeitas à incidência do IBS e da CBS, por alíquota nacionalmente uniforme, a ser fixada de modo a manter a carga tributária incidente sobre essas operações.
 § 2º As operações relacionadas ao FGTS são aquelas necessárias à aplicação da Lei nº 8.036, de 11 de maio de 1990, realizadas: 
 I – pelo agente operador do FGTS;
 § 3º Ficam sujeitas:
 I - à alíquota zero do IBS e da CBS, as operações previstas no inciso I do § 2º deste artigo;";Art. 212, § 3º, I;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art212
200;Alíquota zero;200018;Operações de resseguro e retrocessão;Operações de resseguro e retrocessão ficam sujeitas à incidência à alíquota zero, inclusive quando os prêmios de resseguro e retrocessão forem cedidos ao exterior, observado o art. 223 da Lei Complementar nº 214, de 2025.;"Art. 223. Para fins de determinação da base de cálculo, nas operações de seguros e resseguros de que tratam, respectivamente, os incisos XI e XII do caput do art. 182 desta Lei Complementar:
 § 4º As operações de resseguro e retrocessão ficam sujeitas à incidência à alíquota zero, inclusive quando os prêmios de resseguro e retrocessão forem cedidos ao exterior.";Art. 223, § 4º;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art223
200;Alíquota zero;200019;Importador dos serviços financeiros contribuinte;Importador dos serviços financeiros seja contribuinte que realize as operações de que tratam os incisos I a V do caput do art. 182, será aplicada alíquota zero na importação, sem prejuízo da manutenção do direito de dedução dessas despesas da base de cálculo do IBS e da CBS, segundo, observado o art. 231 da Lei Complementar nº 214, de 2025.;"Art. 231. Os serviços financeiros de que trata o art. 182 desta Lei Complementar, quando forem considerados importados, nos termos da Seção II do Capítulo IV do Título I deste Livro, ficam sujeitos à incidência do IBS e da CBS pela mesma alíquota aplicável aos respectivos serviços financeiros adquiridos de fornecedores domiciliados no País.
 § 1º Na importação de serviços financeiros:
 II - nas hipóteses em que o importador dos serviços financeiros seja contribuinte do IBS e da CBS sujeito ao regime regular e tenha direito de apropriação de créditos desses tributos na aquisição do mesmo serviço financeiro no País, de acordo com o disposto neste Capítulo, será aplicada alíquota zero na importação, e não serão apropriados créditos do IBS e da CBS; e";Art. 231, § 1º, II;Padrão;100;100;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art231
