CST-IBS/CBS;Descriá∆o CST-IBS/CBS;cClassTrib;Nome cClassTrib;Descriá∆o cClassTrib;LC Redaá∆o;LC 214/25;Tipo de Al°quota;pRedIBS;pRedCBS;ind_gTribRegular;ind_gCredPresOper;ind_gMonoPadrao;ind_gMonoReten;ind_gMonoRet;ind_gMonoDif;ind_gEstornoCred;dIniVig;dFimVig;DataAtualizaá∆o;indNFeABI;indNFe;indNFCe;indCTe;indCTeOS;indBPe;indBPeTA;indBPeTM;indNF3e;indNFSe;indNFSe Via;indNFCom;indNFAg;indNFGas;indDERE;ANEXO;Link
620;Tributaá∆o monof†sica;620004;Tributaá∆o monof†sica sobre mistura de EAC com gasolina A em percentual superior ao obrigat¢rio;Tributaá∆o monof†sica sobre mistura de EAC com gasolina A em percentual superior ou inferior ao obrigat¢rio, observado o art. 179 da Lei Complementar nß 214, de 2025.;"Art. 179. Nas operaá‰es com EAC: 
 II - a distribuidora de combust°veis que realizar mistura de EAC com gasolina A em percentual: 
 a) superior ao obrigat¢rio, fica obrigada a recolher o IBS e a CBS de que trata o art. 172 desta Lei Complementar em relaá∆o ao volume de biocombust°vel correspondente ao que exceder ao percentual obrigat¢rio de mistura; e";Art. 179, II, a;Uniforme setorial;0;0;0;0;1;0;1;0;0;01/01/2026;;11/06/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art179
620;Tributaá∆o monof†sica;620005;Tributaá∆o monof†sica sobre mistura de EAC com gasolina A em percentual inferior ao obrigat¢rio;Tributaá∆o monof†sica sobre mistura de EAC com gasolina A em percentual superior ou inferior ao obrigat¢rio, observado o art. 179 da Lei Complementar nß 214, de 2025.;"Art. 179. Nas operaá‰es com EAC: 
 II - a distribuidora de combust°veis que realizar mistura de EAC com gasolina A em percentual: 
 b) inferior ao obrigat¢rio, ter† direito ao ressarcimento do IBS e da CBS de que trata o art. 172 desta Lei Complementar em relaá∆o ao volume de biocombust°vel correspondente ao misturado a menor do que o percentual obrigat¢rio de mistura.";Art. 179, II, b;Uniforme setorial;0;0;0;0;0;0;1;0;0;01/01/2026;;11/06/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art179
620;Tributaá∆o monof†sica;620006;Tributaá∆o monof†sica sobre combust°veis cobrada anteriormente;Tributaá∆o monof†sica sobre combust°veis cobrada anteriormente, observador o art. 180 da Lei Complementar nß 214, de 2025.;Art. 180. ê vedada a apropriaá∆o de crÇditos em relaá∆o Ös aquisiá‰es de combust°veis sujeitos Ö incidància £nica do IBS e da CBS, quando destinadas Ö distribuiá∆o, Ö comercializaá∆o ou Ö revenda.;Art. 180;Uniforme setorial;0;0;0;0;0;0;1;0;0;01/01/2026;;19/11/2025;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art180
800;Transferància de crÇdito;800001;Fus∆o, cis∆o ou incorporaá∆o;Fus∆o, cis∆o ou incorporaá∆o, observado o art. 55 da Lei Complementar nß 214, de 2025.;"Art. 55. ê vedada a transferància, a qualquer t°tulo, para outra pessoa ou entidade sem personalidade jur°dica, de crÇditos do IBS e da CBS.
 Par†grafo £nico. Na hip¢tese de fus∆o, cis∆o ou incorporaá∆o, os crÇditos apropriados e ainda n∆o utilizados poder∆o ser transferidos para a pessoa jur°dica sucessora, ficando preservada a data original da apropriaá∆o dos crÇditos para efeitos da contagem do prazo de que trata o art. 54 desta Lei Complementar.";Art. 55;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art55
800;Transferància de crÇdito;800002;Transferància de crÇdito do associado, inclusive as cooperativas singulares;Transferància de crÇdito do associado, inclusive as cooperativas singulares, para cooperativa de que participa das operaá‰es antecedentes Ös operaá‰es em que fornece bens e serviáos e os crÇditos presumidos, observado o art. 272 da Lei Complementar nß 214, de 2025.;Art. 272. O associado sujeito ao regime regular do IBS e da CBS, inclusive as cooperativas singulares, que realizar operaá‰es com a reduá∆o de al°quota de que trata o inciso I do caput do art. 271 poder† transferir os crÇditos das operaá‰es antecedentes Ös operaá‰es em que fornece bens e serviáos e os crÇditos presumidos Ö cooperativa de que participa, n∆o se aplicando o disposto no art. 55 desta Lei Complementar.;Art. 272;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art272
810;Ajuste de IBS na ZFM;810001;CrÇdito presumido de IBS sobre o valor apurado nos fornecimentos a partir da ZFM;CrÇdito presumido de IBS sobre o valor apurado nos fornecimentos a partir da Zona Franca de Manaus, observado o art. 450 da Lei Complementar nß 214, de 2025.;Art. 450. Ficam concedidos Ö ind£stria incentivada na Zona Franca de Manaus crÇditos presumidos de IBS e de CBS relativos Ö operaá∆o que destine ao territ¢rio nacional, inclusive para a pr¢pria Zona Franca de Manaus, bem material produzido pela pr¢pria ind£stria incentivada na referida †rea nos termos do projeto econìmico aprovado, exceto em relaá∆o Ös operaá‰es previstas no art. 447 desta Lei Complementar.;Art. 450;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art450
811;Ajustes;811001;Anulaá∆o de CrÇdito por Sa°das Imunes/Isentas;Anulaá∆o de crÇdito proporcional ao valor das operaá‰es imunes e isentas, observado o art. 51 da Lei Complementar nß 214, de 2025.;"Art. 51. A imunidade e a isená∆o acarretar∆o a anulaá∆o dos crÇditos relativos Ös operaá‰es anteriores.
 ı 1ß A anulaá∆o dos crÇditos de que trata o caput deste artigo ser† proporcional ao valor das operaá‰es imunes e isentas sobre o valor de todas as operaá‰es do fornecedor.";Art. 51;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;03/10/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art51
811;Ajustes;811002;DÇbitos de notas fiscais n∆o processadas na apuraá∆o;DÇbitos de notas fiscais n∆o processadas na apuraá∆o, observado o art. 45 da Lei Complementar nß 214, de 2025.;"Art. 45. Para cada per°odo de apuraá∆o, o contribuinte dever† apurar, separadamente, o saldo do IBS e da CBS, que corresponder† Ö diferenáa entre os valores: 
 ı 1ß O contribuinte poder† realizar ajustes positivos ou negativos no saldo apurado na forma do caput deste artigo, nos termos previstos no regulamento.";Art. 45;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;03/10/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art45
811;Ajustes;811003;Desenquadramento do Simples Nacional;DÇbitos apurados ap¢s o desenquadramento do regime Simples Nacional, observado o art. 41 da Lei Complementar nß 214, de 2025.;"Art. 41. O regime regular do IBS e da CBS compreende todas as regras de incidància e de apuraá∆o previstas nesta Lei Complementar, incluindo aquelas aplic†veis aos regimes diferenciados e aos regimes espec°ficos. 
 ı 2ß Os contribuintes optantes pelo Simples Nacional ou pelo MEI ficam sujeitos Ös regras desses regimes.";Art. 41;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;03/10/2025;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art41
820;Tributaá∆o em declaraá∆o de regime espec°fico;820001;Documento com informaá‰es de fornecimento de serviáos de planos de assistància Ö sa£de;Documento com informaá‰es de fornecimento de serviáos de planos de assinstància Ö sa£de, mas com tributaá∆o realizada por outro meio, observado o art. 235 da Lei Complementar nß 214, de 2025.;Art. 234. Os planos de assistància Ö sa£de ficam sujeitos a regime espec°fico de incidància do IBS e da CBS, de acordo com o disposto neste Cap°tulo, nos casos em que esses serviáos sejam prestados por:;Art. 235;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art235
820;Tributaá∆o em declaraá∆o de regime espec°fico;820002;Documento com informaá‰es de fornecimento de serviáos de planos de assistància funer†ria;Documento com informaá‰es de fornecimento de serviáos de planos de assinstància funer†ria, mas com tributaá∆o realizada por outro meio, observado o art. 236 da Lei Complementar nß 214, de 2025.;Art. 236. Os planos de assistància funer†ria ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar.;Art. 236;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art236
820;Tributaá∆o em declaraá∆o de regime espec°fico;820003;Documento com informaá‰es de fornecimento de serviáos de planos de assistància Ö sa£de de animais domÇsticos;Documento com informaá‰es de fornecimento de serviáos de planos de assinstància Ö sa£de de animais domÇsticos, mas com tributaá∆o realizada por outro meio, observado o art. 243 da Lei Complementar nß 214, de 2025.;Art. 243. Os planos de assistància Ö sa£de de animais domÇsticos ficam sujeitos ao disposto nos arts. 234 a 242 desta Lei Complementar, com exceá∆o das al°quotas aplic†veis, que ser∆o nacionalmente uniformes e corresponder∆o Ö soma das al°quotas de referància de cada esfera federativa, reduzidas em 30% (trinta por cento), vedado o crÇdito ao adquirente.;Art. 243;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art243
820;Tributaá∆o em declaraá∆o de regime espec°fico;820004;Documento com informaá‰es de prestaá∆o de serviáos de consursos de progn¢sticos;Documento com informaá‰es de prestaá∆o de serviáos de consursos de progn¢sticos, mas com tributaá∆o realizada por outro meio, observado o art. 248 da Lei Complementar nß 214, de 2025.;Art. 248. A empresa que opera concursos de progn¢sticos dever† apresentar obrigaá∆o acess¢ria, na forma do regulamento, contendo, no m°nimo, informaá‰es sobre o local onde a aposta Ç efetuada e os valores das apostas e das premiaá‰es pagas.;Art. 248;Sem al°quota;0;0;0;0;0;0;0;0;0;01/01/2026;;19/05/2025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art248
