591,"",218.60,1.66,0.00,362.88
604,"",298.29,3.36,0.00,1002.39
196,"",228.74,123.34,0.00,28212.50
216,"",11.57,0.00,0.00,0.00
215,"",2.90,0.00,0.00,0.00
253,"",0.59,0.00,0.00,0.00
150,"",600.00,4.77,0.00,2860.95
603,"",200.00,4.41,0.00,881.76
113,"",1.00,32.58,0.00,32.58
606,"",20.00,6.10,0.00,122.02
607,"",18.00,11.84,0.00,213.19
609,"",1.00,12500.40,0.00,12500.40
612,"",18.00,277.45,0.00,4994.13
611,"",132.00,359.56,0.00,47462.21
30,"",3300.00,0.42,0.00,1388.91
29,"",3600.00,0.28,0.00,993.51
613,"",1.00,151619.29,0.00,151619.29
614,"",1.00,14016.60,0.00,14016.60
615,"",100.00,19.53,0.00,1952.85
618,"",1.00,360.99,0.00,360.99
167,"",2.00,28.19,0.00,56.38
621,"",100.00,1.61,0.00,161.27
632,"",1.00,19474.33,0.00,19474.33
39,"",2.00,58.39,0.00,116.78
169,"",2.00,205.13,0.00,410.26
630,"",1.00,1689.88,0.00,1689.88
633,"",1.00,2541.07,0.00,2541.07
634,"",1.00,32669.22,0.00,32669.22
86,"",2.00,17563.22,0.00,35126.43
146,"",1.00,520.20,0.00,520.20
635,"",3074.00,1.63,0.00,5022.79
387,"",105.00,419.00,0.00,43995.33
390,"",101.00,0.33,0.00,33.12
160,"",1.00,3463.34,0.00,3463.34
4,"",1.00,10610.58,0.00,10610.58
5,"",1.00,12379.01,0.00,12379.01
55,"",3.00,131.14,0.00,393.43
511,"",1.00,2083.30,0.00,2083.30
638,"",1.00,1866.67,0.00,1866.67
31,"",1.00,1051.37,0.00,1051.37
119,"",1.00,1529.64,0.00,1529.64
640,"",1.00,757.90,0.00,757.90
152,"",16.00,20.21,0.00,323.41
155,"",6.00,17.36,0.00,104.19
154,"",3.00,4.91,0.00,14.72
563,"",39.76,450.21,0.00,17898.24
153,"",3.00,4.40,0.00,13.19
120,"",1.00,14842.89,0.00,14842.89
1078800,"",1.00,15450.19,0.00,15450.19
106,"",1.00,15667.49,0.00,15667.49
643,"",1.00,50000.00,0.00,50000.00
173,"",1.00,24177.90,0.00,24177.90
144,"",1.00,14842.89,0.00,14842.89
641,"",1.00,26340.00,0.00,26340.00
645,"",2.00,5327.60,0.00,10655.19
644,"",1.00,1327.17,0.00,1327.17
132,"",1.00,126.07,0.00,126.07
161,"",5.00,1690.10,0.00,8450.48
179,"",8.00,1823.03,0.00,14584.22
654,"",1.00,5444.68,0.00,5444.68
19,"",2.00,5.98,0.00,11.96
703,"",4.00,489.65,0.00,1958.60
660,"",600.00,8.66,0.00,5197.88
659,"",3350.00,10.52,0.00,35257.56
711,"",50.00,16.52,0.00,826.24
727,"",1425.00,9.65,0.00,13751.54
661,"",200.00,16.20,0.00,3240.23
133,"",1.00,134.02,0.00,134.02
667,"",1.00,1231.58,0.00,1231.58
668,"",9500.00,0.00,0.00,0.00
670,"",4.00,17.18,0.00,68.73
532,"",11.00,19.82,0.00,218.02
625,"",1.00,3800.00,0.00,3800.00
63,"",2.00,465.07,0.00,930.14
57,"",2.00,1557.68,0.00,3115.36
58,"",2.00,717.60,0.00,1435.19
95,"",6.00,34.11,0.00,204.65
181,"",3.00,42.99,0.00,128.96
182,"",8.00,42.99,0.00,343.89
671,"",454.35,3.24,0.00,1471.01
672,"",200.00,2.78,0.00,556.87
7,"",10.00,289.86,0.00,2898.57
114,"",1.00,3.86,0.00,3.86
53,"",1.00,8.01,0.00,8.01
407,"",117.00,12.65,0.00,1480.59
657,"",450.00,12.11,0.00,5449.69
151,"",1.00,275.87,0.00,275.87
24,"",1.00,711.45,0.00,711.45
505,"",125.00,13.78,0.00,1722.41
646,"",25.00,12.06,0.00,301.50
