1082514282000100250234947     UNIANDRA COMERCIO DE ARTIGOS DE VESFLORIANOPOLIS                 SC48322491792019050120190531331
5082514282000371258508205     20190521SC551  0015291152T000000024944000000000000000000000000000000000000000000000002494400000N
5082514282000371258508205     20190521SC551  0015271152T000000005799600000000000000000000000000000000000000000000000579960000N
5082514282000371258508205     20190521SC551  0015261152T000000005883700000000000000000000000000000000000000000000000588370000N
5000088757960925ISENTO        20190521SC552  0090811201P000000000599000000000000000000000000000000000000000000000000059900000N
5000061358061904ISENTO        20190521SC552  0090821201P000000001928000000000000000000000000000000000000000000000000192800000N
5000006401429828ISENTO        20190521SC552  0090831201P000000001446000000000000000000000000000000000000000000000000144600000N
5000000021463980ISENTO        20190521SC552  0090841201P000000000849000000000000000000000000000000000000000000000000084900000N
5082514282000290255918461     20190521SC552  0090865151P000000001248500000000000000000000000000000000000000000000000124851700N
5082514282000290255918461     20190521SC552  0090855152P000000000389000000000000000000000000000000000000000000000000038901200N
5082514282000371258508205     20190522SC551  0015341152T000000019750000000000000000000000000000000000000000000000001975000000N
5082514282000371258508205     20190522SC551  0015331152T000000012297500000000000000000000000000000000000000000000001229750000N
5082514282000290255918461     20190522SC552  0051291152T000000000708300000000000000000000000000000000000000000000000070830000N
5000093015224034ISENTO        20190522SC552  0090871201P000000001138000000000000000000000000000000000000000000000000113800000N
5000081554206049ISENTO        20190522SC552  0090881201P000000000875000000000000000000000000000000000000000000000000087500000N
5000062539841953ISENTO        20190522SC552  0090911201P000000000566000000000000000000000000000000000000000000000000056600000N
5000004033519955ISENTO        20190522SC552  0090931201P000000000891000000000000000000000000000000000000000000000000089100000N
5000085938270987ISENTO        20190522SC552  0090971201P000000000940000000000000000000000000000000000000000000000000094000000N
5000000659794942ISENTO        20190522SC552  0090981201P000000000940000000000000000000000000000000000000000000000000094000000N
5027844178000175ISENTO        20190522SC552  0090895101P000000039500000000000000000000000000000000000000000000000003950001700N
5082514282000290255918461     20190522SC552  0090925151P000000000384500000000000000000000000000000000000000000000000038451200N
5082514282000290255918461     20190522SC552  0090905151P000000000598000000000000000000000000000000000000000000000000059801700N
5082514282000290255918461     20190522SC552  0090955151P000000000475000000000000000000000000000000000000000000000000047501700N
5082514282000290255918461     20190522SC552  0090965152P000000000453900000000000000000000000000000000000000000000000045391200N
5082514282000290255918461     20190522SC552  0090945152P000000000363600000000000000000000000000000000000000000000000036361200N
5082514282000371258508205     20190523SC551  0015371152T000000003970000000000000000000000000000000000000000000000000397000000N
5000000432919961ISENTO        20190523SC552  0090991201P000000000429000000000000000000000000000000000000000000000000042900000N
5000002624696938ISENTO        20190523SC552  0091001201P000000001138000000000000000000000000000000000000000000000000113800000N
5000001970995998ISENTO        20190523SC552  0091021201P000000000210000000000000000000000000000000000000000000000000021000000N
5000004585937960ISENTO        20190523SC552  0091031201P000000001152000000000000000000000000000000000000000000000000115200000N
5000007411625981ISENTO        20190523SC552  0091041201P000000000868000000000000000000000000000000000000000000000000086800000N
5000071482415968ISENTO        20190523SC552  0091051201P000000000929000000000000000000000000000000000000000000000000092900000N
5082514282000290255918461     20190523SC552  0091065151P000000000977600000000000000000000000000000000000000000000000097761700N
5082514282000290255918461     20190523SC552  0091075151P000000000599000000000000000000000000000000000000000000000000059901700N
5082514282000290255918461     20190523SC552  0091015152P000000000636400000000000000000000000000000000000000000000000063641200N
5082514282000371258508205     20190524SC551  0015401152T000000005184000000000000000000000000000000000000000000000000518400000N
5082514282000371258508205     20190524SC551  0015391152T000000019741500000000000000000000000000000000000000000000001974150000N
5082514282000290255918461     20190524SC552  0051381152T000000001594700000000000000000000000000000000000000000000000159470000N
5082514282000371258508205     20190524SC551  0015381152T000000022076500000000000000000000000000000000000000000000002207650000N
5082514282000290255918461     20190524SC552  0051321152T000000000113200000000000000000000000000000000000000000000000011320000N
5082514282000290255918461     20190524SC552  0051311152T000000001697000000000000000000000000000000000000000000000000169700000N
5082514282000290255918461     20190524SC552  0051301152T000000000733500000000000000000000000000000000000000000000000073350000N
5082514282000371258508205     20190524SC551  0015431152T000000027665000000000000000000000000000000000000000000000002766500000N
5000001954904959ISENTO        20190524SC552  0091081201P000000000409000000000000000000000000000000000000000000000000040900000N
5000045473986900ISENTO        20190524SC552  0091091201P000000000524000000000000000000000000000000000000000000000000052400000N
5000098129228149ISENTO        20190524SC552  0091101201P000000000419000000000000000000000000000000000000000000000000041900000N
5000088969681949ISENTO        20190524SC552  0091151201P000000000509000000000000000000000000000000000000000000000000050900000N
5000007901978988ISENTO        20190524SC552  0091161201P000000000479000000000000000000000000000000000000000000000000047900000N
5082514282000290255918461     20190524SC552  0091115151P000000000204500000000000000000000000000000000000000000000000020451700N
5082514282000371258508205     20190524SC552  0091125151P000000000838000000000000000000000000000000000000000000000000083801700N
5082514282000371258508205     20190524SC552  0091145151P000000000279000000000000000000000000000000000000000000000000027901700N
5082514282000290255918461     20190524SC552  0091135152P000000001260000000000000000000000000000000000000000000000000126001200N
5082514282000290255918461     20190525SC552  0051431152T000000000447800000000000000000000000000000000000000000000000044780000N
5000003830830955ISENTO        20190525SC552  0091171201P000000000569000000000000000000000000000000000000000000000000056900000N
5000063113945020ISENTO        20190525SC552  0091181201P000000000619000000000000000000000000000000000000000000000000061900000N
5000089301366991ISENTO        20190525SC552  0091191201P000000000918000000000000000000000000000000000000000000000000091800000N
5082514282000371258508205     20190527SC551  0015451152T000000006444000000000000000000000000000000000000000000000000644400000N
5082514282000371258508205     20190527SC551  0015461152T000000037739200000000000000000000000000000000000000000000003773920000N
5082514282000290255918461     20190527SC552  0050841152T000000017696000000000000000000000000000000000000000000000001769600000N
5082514282000290255918461     20190527SC552  0050771152T000000009415500000000000000000000000000000000000000000000000941550000N
5082514282000290255918461     20190527SC552  0050781152T000000015324800000000000000000000000000000000000000000000001532480000N
5082514282000290255918461     20190527SC552  0050761152T000000071184600000000000000000000000000000000000000000000007118460000N
5082514282000371258508205     20190527SC551  0015011152T000000018354500000000000000000000000000000000000000000000001835450000N
5082514282000371258508205     20190527SC551  0015091152T000000011865000000000000000000000000000000000000000000000001186500000N
5082514282000371258508205     20190527SC551  0015101152T000000004865000000000000000000000000000000000000000000000000486500000N
5000004434983938ISENTO        20190527SC552  0091201201P000000000619000000000000000000000000000000000000000000000000061900000N
5000000383308909ISENTO        20190527SC552  0091211201P000000000969000000000000000000000000000000000000000000000000096900000N
5000001455743933ISENTO        20190527SC552  0091241201P000000001138000000000000000000000000000000000000000000000000113800000N
5000003692805985ISENTO        20190527SC552  0091251201P000000000619000000000000000000000000000000000000000000000000061900000N
5000002200115911ISENTO        20190527SC552  0091261201P000000000979000000000000000000000000000000000000000000000000097900000N
5000003013831979ISENTO        20190527SC552  0091291201P000000000576000000000000000000000000000000000000000000000000057600000N
5000065220145053ISENTO        20190527SC552  0091311201P000000000979000000000000000000000000000000000000000000000000097900000N
5000098697587972ISENTO        20190527SC552  0091321201P000000000619000000000000000000000000000000000000000000000000061900000N
5027844178000175ISENTO        20190527SC552  0091275101P000000069520000000000000000000000000000000000000000000000006952001700N
5082514282000290255918461     20190527SC552  0091235151P000000000439000000000000000000000000000000000000000000000000043901700N
5082514282000290255918461     20190527SC552  0091285151P000000000424500000000000000000000000000000000000000000000000042451700N
5082514282000290255918461     20190527SC552  0091305152P000000000636400000000000000000000000000000000000000000000000063641200N
5082514282000290255918461     20190527SC552  0091225152P000000000345000000000000000000000000000000000000000000000000034501700N
5082514282000371258508205     20190528SC551  0015541152T000000004608000000000000000000000000000000000000000000000000460800000N
5082514282000371258508205     20190528SC551  0015491152T000000055436500000000000000000000000000000000000000000000005543650000N
5082514282000290255918461     20190528SC552  0051461152T000000000674200000000000000000000000000000000000000000000000067420000N
5082514282000290255918461     20190528SC552  0051451152T000000000683600000000000000000000000000000000000000000000000068360000N
5000000526294906ISENTO        20190528SC552  0091331201P000000000399000000000000000000000000000000000000000000000000039900000N
5000000896725936ISENTO        20190528SC552  0091341201P000000000569000000000000000000000000000000000000000000000000056900000N
5000005461945910ISENTO        20190528SC552  0091351201P000000001996000000000000000000000000000000000000000000000000199600000N
5000000874172942ISENTO        20190528SC552  0091381201P000000000969000000000000000000000000000000000000000000000000096900000N
5000000951180983ISENTO        20190528SC552  0091401201P000000002810000000000000000000000000000000000000000000000000281000000N
5000000560255993ISENTO        20190528SC552  0091411201P000000001010000000000000000000000000000000000000000000000000101000000N
5082514282000290255918461     20190528SC552  0091365151P000000000571400000000000000000000000000000000000000000000000057141700N
5082514282000290255918461     20190528SC552  0091375152P000000000395000000000000000000000000000000000000000000000000039501200N
5031318817000136258819987     20190528SC552  0091395929P000000005493000000000000000000000000000000000000000000000000549301700N
5082514282000371258508205     20190529SC551  0015581152T000000026587000000000000000000000000000000000000000000000002658700000N
5082514282000371258508205     20190529SC551  0015561152T000000014233000000000000000000000000000000000000000000000001423300000N
5082514282000290255918461     20190529SC552  0051541152T000000001978900000000000000000000000000000000000000000000000197890000N
5082514282000371258508205     20190529SC551  0015591152T000000013323500000000000000000000000000000000000000000000001332350000N
5000080903304953ISENTO        20190529SC552  0091421201P000000002086000000000000000000000000000000000000000000000000208600000N
5000000390655961ISENTO        20190529SC552  0091431201P000000001308000000000000000000000000000000000000000000000000130800000N
5000074351737972ISENTO        20190529SC552  0091441201P000000000818000000000000000000000000000000000000000000000000081800000N
5000002087058997ISENTO        20190529SC552  0091451201P000000001299000000000000000000000000000000000000000000000000129900000N
5000000534177042ISENTO        20190529SC552  0091461201P000000000399000000000000000000000000000000000000000000000000039900000N
5082514282000290255918461     20190529SC552  0091475151P000000000769000000000000000000000000000000000000000000000000076901700N
5082514282000290255918461     20190529SC552  0091485152P000000000072000000000000000000000000000000000000000000000000007201200N
5082514282000290255918461     20190530SC552  0051621152T000000002256800000000000000000000000000000000000000000000000225680000N
5082514282000371258508205     20190530SC551  0015631152T000000074255000000000000000000000000000000000000000000000007425500000N
5082514282000290255918461     20190530SC552  0051591152T000000000421100000000000000000000000000000000000000000000000042110000N
5082514282000290255918461     20190530SC552  0051711152T000000000395000000000000000000000000000000000000000000000000039500000N
5082514282000290255918461     20190530SC552  0051701152T000000000429000000000000000000000000000000000000000000000000042900000N
5082514282000290255918461     20190530SC552  0051691152T000000001852900000000000000000000000000000000000000000000000185290000N
5082514282000290255918461     20190530SC552  0051681152T000000001130800000000000000000000000000000000000000000000000113080000N
5000004182311922ISENTO        20190530SC552  0091491201P000000000399000000000000000000000000000000000000000000000000039900000N
5000057374368968ISENTO        20190530SC552  0091511201P000000001216000000000000000000000000000000000000000000000000121600000N
5000020243862881ISENTO        20190530SC552  0091551201P000000000998000000000000000000000000000000000000000000000000099800000N
5004814850000184254330517     20190530SC552  0091525101P000000005714000000000000000000000000000000000000000000000000571401700N
5082514282000290255918461     20190530SC552  0091505152P000000000790000000000000000000000000000000000000000000000000079001200N
5082514282000290255918461     20190530SC552  0091535152P000000000968900000000000000000000000000000000000000000000000096891200N
5082514282000290255918461     20190530SC552  0091545152P000000001187100000000000000000000000000000000000000000000000118711200N
5082514282000290255918461     20190531SC552  0051801152T000000000527700000000000000000000000000000000000000000000000052770000N
5082514282000371258508205     20190531SC551  0015701152T000000004859000000000000000000000000000000000000000000000000485900000N
5000003056144957ISENTO        20190531SC552  0091571201P000000000553000000000000000000000000000000000000000000000000055300000N
5000001712559923ISENTO        20190531SC552  0091581201P000000001438000000000000000000000000000000000000000000000000143800000N
5000003009596995ISENTO        20190531SC552  0091591201P000000000576000000000000000000000000000000000000000000000000057600000N
5082514282000371258508205     20190531SC552  0091565151P000000000239500000000000000000000000000000000000000000000000023951700N
60M20190502EP1216100000000090900032D02290502294900057900100000000007967900000000296690077                                     
