"";;"VALENTINI COMERCIO DE CALCADOS EIRELI LTDA";;;;;;"RELATÓRIO DE ESTOQUES POR GRADE";;;;;;;;;;;;;;"DATA:";"27/08/2014";;;
;;"89190-000  TAIO  SC";"";;;"SITUAÇÃO EM 27 DE AGOSTO DE 2014";;;;;;;;;;"PÁG.:";"1";
;;" Filiais: '1'";;;
"REFERÊNCIA/DESCRIÇÃO";;;;"";;;"UNIDADE";;"TAMANHOS";;;"";;;;;;;;;;;;;;;;"TOTALESTOQUE";"VALORFINANCEIRO";"CUSTOMÉDIO";;;;"";
"";;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FORNECEDOR: 62 - ADDER - J.CORREA";;;;;;;;;
"294524 - CALPRADO KA 3010 3020";;;;;;;;"PR";"40";"41";"43";"44";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CONHAQUE";;;;;;;"1";"";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"132,72";;"44,24";;;"";
"";;"PRETO";;;;;;;"1";"1";"";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"221,20";;"73,73";;;"";
"Total do Produto";;;"2";"1";"1";"2";"";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"353,92";;"58,99";;;
"294779 - CALPRADO SAPATILHA 2013";;;;;;;;"PR";"37";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"MARRON";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"39,20";;"39,20";;;"";
"292567 - CALPRADO SAPATILHA S 2014";;;;;;;;"PR";"37";"38";"39";"40";"41";"43";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AREIA";;;;;;;"";"";"1";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"126,90";;"42,30";;;"";
"";;"CAFé";;;;;;;"1";"1";"";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"126,95";;"42,32";;;"";
"";;"PRETO";;;;;;;"";"1";"1";"";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"4";"169,20";;"42,30";;;"";
"Total do Produto";;;"1";"2";"2";"2";"2";"1";"";;"";"";;"";"";"";;"";"";"";"";"10";"423,05";;"42,31";;;
"294781 - CALPRADO SAPATO 2013";;;;;;;;"PR";"38";"40";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PRETO";;;;;;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"117,80";;"58,90";;;"";
"293772 - CALPRADO SAPATO 3000-14 546";;;;;;;;"PR";"45";"46";"47";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"CAFé";;;;;;;"1";"2";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"4";"165,68";;"41,42";;;"";
"";;"PRETO";;;;;;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"124,26";;"62,13";;;"";
"Total do Produto";;;"2";"3";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"289,94";;"48,32";;;
"";;;;;"Total Fornecedor";;;;"8";"8";"5";"4";"2";"1";"";;"";"";;"";"";"";;"";"";"";"";"28";"1.375,46";;"49,12";;;"";
"FORNECEDOR: 432 - CALVEST";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"294777 - CALVEST 1420B175";;;;;;;;"PR";"40";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"PRETO";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"90,92";;"90,92";;;"";
"";;;;;"Total Fornecedor";;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"90,92";;"90,92";;;"";
"FORNECEDOR: 967 - CRISTAIS CRISTAIS IND E COM DE CALC ELIR";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296592 - CRISTAIS RASTEIRA";;;;;;;;"PR";"34";"35";"36";"37";"38";"39";"";;"";"";;"";"";"";;"";"";"";"";
"";;"ESTAMPADO";;;;;;;"2";"6";"10";"9";"9";"4";"";;"";"";;"";"";"";;"";"";"";"";"40";"519,20";;"12,98";;;"";
"";;"VERDE";;;;;;;"";"1";"1";"2";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"6";"77,88";;"12,98";;;"";
"";;"VERMELHO";;;;;;;"";"2";"2";"1";"1";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"77,88";;"12,98";;;"";
"Total do Produto";;;"2";"9";"13";"12";"11";"5";"";;"";"";;"";"";"";;"";"";"";"";"52";"674,96";;"12,98";;;
"";;;;;"Total Fornecedor";;;;"2";"9";"13";"12";"11";"5";"";;"";"";;"";"";"";;"";"";"";"";"52";"674,96";;"12,98";;;"";
"FORNECEDOR: 6 - DAKOTA NORDESTE S/A";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296370 - KOLOSH ARES C0144";;;;;;;;"UN";"36";"37";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"AZUL";;;;;;;"2";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"426,30";;"142,10";;;"";
"296185 - KOLOSH BERINGELA C0112";;;;;;;;"UN";"36";"37";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BORDO";;;;;;;"2";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"262,68";;"87,56";;;"";
"296507 - KOLOSH C0364";;;;;;;;"UN";"34";"35";"36";"37";"38";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"1";"2";"1";"2";"";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"321,10";;"53,52";;;"";
